Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,Outlet,Current Stock,Stock Value,Item Value,Reorder Point,Reorder Amount
Harvard Premium Quarter Zip / Crimson / XS,11129,,4 Fall 2017 Collection,Ouray,023 Apparel > Sweatshirts > Zip,,JFK,2,35.60352,17.80176,0,0
Harvard Premium Quarter Zip / Navy / L,11127,,4 Fall 2017 Collection,Ouray,023 Apparel > Sweatshirts > Zip,,JFK,2,35.19294,17.59647,0,0
Harvard Premium Quarter Zip / Navy / M,11126,,4 Fall 2017 Collection,Ouray,023 Apparel > Sweatshirts > Zip,,JFK,2,35.54486,17.77243,0,0
Harvard Premium Quarter Zip / Navy / S,11125,,4 Fall 2017 Collection,Ouray,023 Apparel > Sweatshirts > Zip,,JFK,2,35.32364,17.66182,0,0
Harvard Premium Quarter Zip / Navy / XL,11128,,4 Fall 2017 Collection,Ouray,023 Apparel > Sweatshirts > Zip,,JFK,2,35.16428,17.58214,0,0
Harvard Premium Quarter Zip / Navy / XS,11124,,4 Fall 2017 Collection,Ouray,023 Apparel > Sweatshirts > Zip,,JFK,2,35.32456,17.66228,0,0
Harvard Quarter Zip Applique / Oxford / L,10602,,3 Classic Collection,Bay State Apparel,023 Apparel > Sweatshirts > Zip,,JFK,2,31,15.5,1,2
Harvard Quarter Zip Applique / Oxford / M,10601,,3 Classic Collection,Bay State Apparel,023 Apparel > Sweatshirts > Zip,,JFK,1,15.5,15.5,1,2
Harvard Quarter Zip Applique / Oxford / S,10600,,3 Classic Collection,Bay State Apparel,023 Apparel > Sweatshirts > Zip,,JFK,-2,-31,15.5,1,2
Harvard Quarter Zip Applique / Oxford / XL,10603,,3 Classic Collection,Bay State Apparel,023 Apparel > Sweatshirts > Zip,,JFK,1,15.5,15.5,1,2
Harvard Quarter Zip Applique / Oxford / XS,10599,,3 Classic Collection,Bay State Apparel,023 Apparel > Sweatshirts > Zip,,JFK,2,31,15.5,1,2
Harvard Quarter Zip Applique / Oxford / XXL,10841,,3 Classic Collection,Bay State Apparel,023 Apparel > Sweatshirts > Zip,,JFK,1,15.5,15.5,0,0
Harvard Racerback Tank / L,10027,,Clearance,MyU,"010 Apparel > T-shirts, Tanks",,JFK,0,0,9.7,0,0
Harvard Racerback Tank / M,10026,,Clearance,MyU,"010 Apparel > T-shirts, Tanks",,JFK,0,0,10.7,0,0
Harvard Racerback Tank / S,10025,,Clearance,MyU,"010 Apparel > T-shirts, Tanks",,JFK,0,0,24.99,0,0
Harvard Racerback Tank / XL,10028,,Clearance,MyU,"010 Apparel > T-shirts, Tanks",,JFK,0,0,11.48,0,0
Harvard Rugby Shirt / Crimson / Striped / L,10958,,2 Lifestyle Collection,Quality,090 Apparel > Other,,JFK,2,67.06212,33.53106,0,0
Harvard Rugby Shirt / Crimson / Striped / M,10957,,2 Lifestyle Collection,Quality,090 Apparel > Other,,JFK,0,0,33.25377,0,0
Harvard Rugby Shirt / Crimson / Striped / S,10956,,2 Lifestyle Collection,Quality,090 Apparel > Other,,JFK,-2,-65.98418,32.99209,0,0
Harvard Rugby Shirt / Crimson / Striped / XL,10959,,2 Lifestyle Collection,Quality,090 Apparel > Other,,JFK,2,66.12078,33.06039,0,0
Harvard Rugby Shirt / Crimson / Striped / XS,10955,,2 Lifestyle Collection,Quality,090 Apparel > Other,,JFK,2,66.50752,33.25376,0,0
Harvard Rugby Shirt / Crimson / Striped / XXL,10960,,2 Lifestyle Collection,Quality,090 Apparel > Other,,JFK,2,65.98338,32.99169,0,0
Harvard Running Shorts / L / Crimson,4420,COMPRI,Clearance,Comprint,040 Apparel > Pants and Shorts,,JFK,0,0,10.52,2,2
Harvard Running Shorts / M / Crimson,4419,COMPRI,Clearance,Comprint,040 Apparel > Pants and Shorts,,JFK,-1,-10.54,10.54,3,3
Harvard Running Shorts / S / Crimson,4418,COMPRI,Clearance,Comprint,040 Apparel > Pants and Shorts,,JFK,0,0,10.54,3,3
Harvard Running Shorts / XL / Crimson,4421,COMPRI,Clearance,Comprint,040 Apparel > Pants and Shorts,,JFK,0,0,10.54,2,2
Harvard Shield Dog Leashes / Black / L,10575,,5 Accessories,All Star Dogs,180 Accessories > Other,,JFK,0,0,9,0,0
Harvard Shield Dog Leashes / Black / S,10574,,5 Accessories,All Star Dogs,180 Accessories > Other,,JFK,0,0,9,0,0
Harvard Shield Dog Leashes / Crimson / L,10573,,5 Accessories,All Star Dogs,180 Accessories > Other,,JFK,0,0,9,0,0
Harvard Shield Dog Leashes / Crimson / S,10572,,5 Accessories,All Star Dogs,180 Accessories > Other,,JFK,0,0,9,0,0
Harvard Shield Hat / Crimson,10889,,3 Classic Collection,Bay State Apparel,030 Apparel > Hats,,JFK,1,4.75,4.75,0,0
Harvard Shield Hat / White,10657,,3 Classic Collection,Bay State Apparel,030 Apparel > Hats,,JFK,10,47.5,4.75,3,3
Harvard Silk Striped Bow Tie / Crimson,11180,,1 Heritage Collection,Smart Turnout,"060 Apparel > Belts, Ties, Cufflinks",,JFK,0,0,30,0,0
Harvard Silk Striped Tie / Crimson,11179,,1 Heritage Collection,Smart Turnout,"060 Apparel > Belts, Ties, Cufflinks",,JFK,0,0,37,0,0
Harvard Silver Steel Water Bottle / Silver,2718,QUALIT,6 Drinkware,Quality,220 Drinkware > Bottles,,JFK,7,27.64937,3.94991,5,5
Harvard Sister T-Shirt / Crimson / L,10975,,3 Classic Collection,Quality,"010 Apparel > T-shirts, Tanks",,JFK,0,0,6.46,0,0
Harvard Sister T-Shirt / Crimson / M,10974,,3 Classic Collection,Quality,"010 Apparel > T-shirts, Tanks",,JFK,0,0,6.46,0,0
Harvard Sister T-Shirt / Crimson / S,10973,,3 Classic Collection,Quality,"010 Apparel > T-shirts, Tanks",,JFK,0,0,6.46,0,0
Harvard Sister T-Shirt / Crimson / XL,10976,,3 Classic Collection,Quality,"010 Apparel > T-shirts, Tanks",,JFK,0,0,6.46,0,0
Harvard Snowflake Beanie / Crimson,11259,,2 Lifestyle Collection,Ouray,030 Apparel > Hats,,JFK,2,26.61816,13.30908,0,0
Harvard Snowflake Scarf / Crimson,11243,,2 Lifestyle Collection,Ouray,090 Apparel > Other,,JFK,-3,-44.21424,14.73808,0,0
Harvard Speckled Mug / Crimson,10464,,6 Drinkware,LXG,210 Drinkware > Mugs,,JFK,1,5.54543,5.54543,5,5
Harvard Speckled Mug / Green,10465,,6 Drinkware,LXG,210 Drinkware > Mugs,,JFK,0,0,5.69,5,5
Harvard Spirit Jersey / Crimson / L,10629,,2 Lifestyle Collection,Spirit Jersey,090 Apparel > Other,,JFK,1,24.80321,24.80321,1,2
Harvard Spirit Jersey / Crimson / M,10628,,2 Lifestyle Collection,Spirit Jersey,090 Apparel > Other,,JFK,1,24.80455,24.80455,1,2
Harvard Spirit Jersey / Crimson / S,10627,,2 Lifestyle Collection,Spirit Jersey,090 Apparel > Other,,JFK,0,0,24.80404,1,2
Harvard Spirit Jersey / Crimson / XS,10626,,2 Lifestyle Collection,Spirit Jersey,090 Apparel > Other,,JFK,0,0,24.80396,1,2
Harvard Square Photo,10621,,Clearance,ICONCEPT,"190 Accessories > Postcards, Photos",,JFK,3,38.25,12.75,0,0
Harvard Stadium Sweater / L,10905,,4 Fall 2017 Collection,Hillflint,070 Apparel > Knit Sweaters,,JFK,0,0,42.5,0,0
Harvard Stadium Sweater / M,10904,,4 Fall 2017 Collection,Hillflint,070 Apparel > Knit Sweaters,,JFK,0,0,0,0,0
Harvard Stadium Sweater / S,10903,,4 Fall 2017 Collection,Hillflint,070 Apparel > Knit Sweaters,,JFK,0,0,0,0,0
Harvard Stadium Sweater / XL,10906,,4 Fall 2017 Collection,Hillflint,070 Apparel > Knit Sweaters,,JFK,0,0,0,0,0
Harvard Stadium Sweater / XS,10902,,4 Fall 2017 Collection,Hillflint,070 Apparel > Knit Sweaters,,JFK,0,0,42.5,0,0
Harvard Steel Water Bottle / Crimson,4996,QUALIT,6 Drinkware,Quality,220 Drinkware > Bottles,,JFK,8,63.02792,7.87849,5,5
Harvard Stein Glass / Glass Stein,840,NORDIC,6 Drinkware,NORDIC,230 Drinkware > Glasses,,JFK,6,41.03034,6.83839,5,5
Harvard Straw Hat / Crimson,10480,,2 Lifestyle Collection,Logofit,030 Apparel > Hats,,JFK,-8,-165.64544,20.70568,10,10
Harvard Striped Baby Blanket / Crimson / Striped,10539,,"7 Youth, Toddler, Infant",Creative Knitwear,180 Accessories > Other,,JFK,0,0,9.89,0,0
Harvard Striped Dress & Bloomer / Crimson / Striped / 0-3M,10951,,"7 Youth, Toddler, Infant",Creative Knitwear,"080 Apparel > Onesies, Infantwear",,JFK,3,37.72701,12.57567,0,0
Harvard Striped Dress & Bloomer / Crimson / Striped / 12M,10954,,"7 Youth, Toddler, Infant",Creative Knitwear,"080 Apparel > Onesies, Infantwear",,JFK,0,0,11.07596,0,0
Harvard Striped Dress & Bloomer / Crimson / Striped / 3-6M,10952,,"7 Youth, Toddler, Infant",Creative Knitwear,"080 Apparel > Onesies, Infantwear",,JFK,2,26.0606,13.0303,0,0
Harvard Striped Dress & Bloomer / Crimson / Striped / 6-9M,10953,,"7 Youth, Toddler, Infant",Creative Knitwear,"080 Apparel > Onesies, Infantwear",,JFK,2,23.49628,11.74814,0,0
Harvard Striped Scarf / Crimson,11272,,2 Lifestyle Collection,Apparel Empire,090 Apparel > Other,,JFK,-1,-17.5,17.5,0,0
Harvard Striped Socks / Crimson,11181,,1 Heritage Collection,Smart Turnout,090 Apparel > Other,,JFK,0,0,9,0,0
