id,handle,sku,name,variant_option_one_name,variant_option_one_value,variant_option_two_name,variant_option_two_value,variant_option_three_name,variant_option_three_value,supplier_name,active
79995543-2947-5937-c876-546b747d641d,HarvardToddlerBabySweatpants,11337,Harvard Toddler Sweatpants,Size,2T,Color,Crimson,,,Creative Knitwear,1
8eff04a5-c71d-6239-0c30-315ed2691bea,HarvardToddlerBabySweatpants,11335,Harvard Toddler Sweatpants,Size,18M,Color,Crimson,,,Creative Knitwear,1
91ebdf40-a4ba-948f-4717-aa1578cd5ebd,HarvardToddlerBabySweatpants,11333,Harvard Toddler Sweatpants,Size,6-9M,Color,Crimson,,,Creative Knitwear,1
973cf5cb-8ab6-bfed-954b-564171ce65c0,HarvardToddlerBabySweatpants,11332,Harvard Toddler Sweatpants,Size,3-6M,Color,Crimson,,,Creative Knitwear,1
b179187c-0f56-a499-b390-651589ace976,HarvardToddlerBabySweatpants,11339,Harvard Toddler Sweatpants,Size,4T,Color,Crimson,,,Creative Knitwear,1
d60316b7-4bae-e4de-b93c-4266f394adc5,HarvardToddlerBabySweatpants,11336,Harvard Toddler Sweatpants,Size,24M,Color,Crimson,,,Creative Knitwear,1
c0521c9e-6c3d-11e2-b1f5-4040782fde00,HBSBarrelPen,613,Harvard Business School Barrel Pen,Color,White,,,,,Arts & Cards,1
c1c52400-12ce-996e-c0b2-b8a7c7440984,classof2022swissarmyknife,11613,Class of 2022 Swiss Army Knife,Color,Crimson,,,,,Victorinox,1
c2ecd12f-0ae7-a07d-159f-b54c399bee4e,HarvardHand-StitchedCardWallet,11432,Harvard Hand-Stitched Card Wallet,Color,Crimson,,,,,Smathers and Branson,1
c66e2667-9962-11e2-b1f5-4040782fde00,swivel-chair,SwivelChairWithoutPersona,Swivel Chair,Title,Without Personalization,Shield,Harvard Graduate School of Public Health,,,Standard Chair,1
c8bafaf1-9962-11e2-b1f5-4040782fde00,swivel-chair,SwivelChairWithPersonaliz,Swivel Chair,Title,With Personalization,Shield,Harvard Graduate School of Public Health,,,Standard Chair,1
c7cea8bf-5979-c214-452e-6ffa214d24eb,HarvardAthleticShieldQuarterZip,889662151516,Harvard Athletic Shield Quarter Zip,Color,Graphite,Size,S,,,Colosseum,1
a527bbf3-0551-62bc-48ac-41ec5796ae1a,HarvardAthleticShieldQuarterZip,889662151523,Harvard Athletic Shield Quarter Zip,Color,Graphite,Size,M,,,Colosseum,1
a7e8973b-2ed3-f6a8-9888-67b2552728d9,HarvardAthleticShieldQuarterZip,889662151530,Harvard Athletic Shield Quarter Zip,Color,Graphite,Size,L,,,Colosseum,1
c62934bf-5693-b0bd-aafd-e67173599213,HarvardAthleticShieldQuarterZip,889662151547,Harvard Athletic Shield Quarter Zip,Color,Graphite,Size,XL,,,Colosseum,1
c7d824aa-2c35-11e3-a415-bc764e10976c,HarvardEnamelCufflinks,10139,Harvard Enamel Cufflinks,Style,T-Bar,,,,,Smart Turnout,1
d10507ba-2c35-11e3-a415-bc764e10976c,HarvardEnamelCufflinks,10140,Harvard Enamel Cufflinks,Style,Chain,,,,,Smart Turnout,1
cc7de1f2-007c-1574-1db1-6ccdd74599d6,HarvardLadiesFlannelPajamaPant,11561,Harvard Ladies' Flannel PJ Shorts,Color,Crimson,Size,S,,,Concepts Sport,1
0f2d5ce6-8be9-ea96-16d7-85d484a054d6,HarvardLadiesFlannelPajamaPant,11574,Harvard Ladies' Flannel PJ Shorts,Color,Gray,Size,S,,,Concepts Sport,1
28fae390-cca7-905a-0068-6100be081fdb,HarvardLadiesFlannelPajamaPant,11577,Harvard Ladies' Flannel PJ Shorts,Color,Gray,Size,XL,,,Concepts Sport,1
2dc8b419-22de-dfd4-889e-3f4c4b7c48d6,HarvardLadiesFlannelPajamaPant,11564,Harvard Ladies' Flannel PJ Shorts,Color,Crimson,Size,XL,,,Concepts Sport,1
61cb93ab-1873-e7d0-d300-966248fd0179,HarvardLadiesFlannelPajamaPant,11575,Harvard Ladies' Flannel PJ Shorts,Color,Gray,Size,M,,,Concepts Sport,1
